codigo;descripcion;precio;bonif;bonif2;caja1;caja2;costo;utilidad;pl;iva;dolar;flete;rubro;tarjeta
01.01.00.03;ABRAZADERAS T/AMERICANO 9-20   N* 0;73.97;40;0;9;9;56.9;1.3;83.02;21;9.48;14;ABRAZADERAS CARBIZ;23
01.01.00.05;ABRAZADERAS T/AMERICANO 15-26  N*01;77.18;40;0;9;9;59.37;1.3;86.62;21;9.98;14;ABRAZADERAS CARBIZ;23
01.01.00.07;ABRAZADERAS T/AMERICANO 13-29  N*02;92.41;40;0;9;9;71.09;1.3;103.72;21;12.05;14;ABRAZADERAS CARBIZ;23
01.01.00.09;ABRAZADERAS T/AMERICANO 14-36  N*03;92.41;40;0;9;9;71.09;1.3;103.72;21;12.05;14;ABRAZADERAS CARBIZ;23
01.01.00.11;ABRAZADERAS T/AMERICANO 21-42  N*04;98.5;40;0;9;9;75.77;1.3;110.55;21;12.71;14;ABRAZADERAS CARBIZ;23
01.01.00.13;ABRAZADERAS T/AMERICANO 26-49  N*05;98.5;40;0;9;9;75.77;1.3;110.55;21;12.71;14;ABRAZADERAS CARBIZ;23
01.01.00.15;ABRAZADERAS T/AMERICANO 32-55  N*06;98.5;40;0;9;9;75.77;1.3;110.55;21;12.71;14;ABRAZADERAS CARBIZ;23
09.70.35.95;ENV.FERRITE NEGRO TRIANGULO x 25 Kg;84261.12;40;0;9;9;56174.08;1.5;81961.84;21;10091.15;14;-;23
21.50.91.70;CAMPANA VENTILACION ESMALTADA 70 ct;3796.59;40;0;9;9;2531.06;1.5;3692.99;21;454.68;14;CAMPANAS;23
49.50.91.60;CAMPANA VENTILACION AC.INOXID.60 ct;4465.27;40;0;9;9;3307.61;1.35;4826.03;21;534.76;14;CAMPANAS;23
49.50.91.70;CAMPANA VENTILACION AC.INOXID.70 ct;4731.25;40;0;9;9;3504.63;1.35;5113.49;21;566.62;14;CAMPANAS;23
49.50.91.80;CAMPANA VENTILACION AC.INOXID.80 ct;5593.02;40;0;9;9;4142.98;1.35;6044.89;21;669.82;14;CAMPANAS;23
09.80.73.05;ADHESIVO P/ZAPAT.9 g.ECCOLE POXIPOL;329.47;40;0;9;9;299.52;1.1;437.02;21;132.85;14;-;23
80.10.00.06;CONJ ACCES PLASTICOS NUEVA LINEA      ARS  PLASTIC  -ARSPLASTIC;1525.09;31;0;0;-7;1016.728;1.5;1208;0;23.75;14;list set 19;23
47.01.14.03;BACHA APOYO CILINDRIC.CHICA 355x120;11921.23;40;0;9;9;7947.49;1.5;11595.93;21;3883.14;14;-;23
01.07.19.91;ASIENTO ARO  P/DISCAPAC.ESPACIO FER;5566.43;40;0;9;9;4123.28;1.35;6016.15;21;1819.09;14;-;23
80.00.00.01;"ALICATE CORTE OBLICUO 6"" ";845.51;28;0;0;0;563.6729;1.5;602.4;14;219.04;14;-;23
01.07.35.01;PORTAROLLO PLASTICO  C/TORN. BLANCO;738.59;40;0;9;9;527.56;1.4;769.75;21;88.45;14;ACCESORIOS VENUS;23
01.07.35.03;PORTAROLLO PLAST.VENUS C/TOR. CROMO;1393.78;40;0;9;9;995.56;1.4;1452.59;21;166.92;14;ACCESORIOS VENUS;23
01.07.37.01;PORTATOALLA PLASTICO C/TORN. BLANCO;729.85;40;0;9;9;521.32;1.4;760.64;21;87.41;14;ACCERORIOS VENUS;23
01.07.37.03;PORTATOALLA PLAST.VENUS C/TO. CROMO;1460.83;40;0;9;9;1043.45;1.4;1522.47;21;174.95;14;ACCESORIOS VENUS;23
01.07.39.01;PORTAVASO-CEPILL.PLAST.VENUS BLANCO;376.97;40;0;9;9;269.26;1.4;392.87;21;45.15;14;ACCESORIOS VENUS;23
01.07.39.03;PORTAVASO-CEPILL.PLAST.VENUS  CROMO;778.6;40;0;9;9;556.14;1.4;811.45;21;93.25;14;ACCESORIOS VENUS;23
01.07.41.01;JABONERA SOLA PLASTICA C/TO. BLANCO;584.71;40;0;9;9;417.65;1.4;609.38;21;70.03;14;ACCESORIOS VENUS;23
01.07.41.03;JABONERA SOLA PLAS.VENUS C/TO.CROMO;832.81;40;0;9;9;594.87;1.4;867.95;21;99.74;14;ACCESORIOS VENUS;23
51.33.00.40;MANIJA O VOLANTE PLAS.ALLEGRO FV.MA;223.64;40;0;9;9;149.1;1.5;217.54;21;26.75;14;MANIJAS;23
33.11.29.54;ROSCA C/TCA.REDUCC. PPM. 25 x 19 mm;43.14;40;0;9;9;25.38;1.7;37.03;21;5.24;14;GUIDOLI;23
07.63.01.06;CODO NORMAL SI-GAS AC-POLIET. 32 mm;350.46;40;0;9;9;233.64;1.5;340.9;21;42.02;14;-;23
07.63.03.04;TEE NORMAL SI-GAS AC-POLIET.  20 mm;401.92;40;0;9;9;267.94;1.5;390.95;21;48.13;14;-;23
07.63.03.05;TEE NORMAL SI-GAS AC-POLIET.  25 mm;440.62;40;0;9;9;293.75;1.5;428.6;21;52.77;14;-;23
07.63.03.06;TEE NORMAL SI-GAS AC-POLIET.  32 mm;571.67;40;0;9;9;381.11;1.5;556.07;21;68.46;14;-;23
07.63.05.04;UNION NORMAL SI-GAS AC-POLIET.20 mm;162.49;40;0;9;9;108.33;1.5;158.06;21;19.48;14;-;23
07.63.05.05;UNION NORMAL SI-GAS AC-POLIET.25 mm;189.55;40;0;9;9;126.37;1.5;184.38;21;22.67;14;-;23
07.63.05.06;UNION NORMAL SI-GAS AC-POLIET.32 mm;221.21;40;0;9;9;147.47;1.5;215.17;21;26.46;14;-;23
07.63.11.54;CUPLA REDUCCION SI-GAS AC-POL.25x20;136.54;40;0;9;9;91.02;1.5;132.81;21;16.39;14;-;23
07.63.11.64;CUPLA REDUCCION SI-GAS AC-POL.32x20;164.5;40;0;9;9;109.67;1.5;160.01;21;19.7;14;-;23
07.63.11.65;CUPLA REDUCCION SI-GAS AC-POL.32x25;168.08;40;0;9;9;112.05;1.5;163.49;21;20.13;14;-;23
07.63.13.54;TEE RED.CENTRAL.SI-GAS AC-POL.25x20;442.81;40;0;9;9;295.21;1.5;430.73;21;53.03;14;-;23
07.63.13.64;TEE RED.CENTRAL.SI-GAS AC-POL.32x20;538.97;40;0;9;9;359.31;1.5;524.26;21;64.55;14;-;23
07.63.13.65;TEE RED.CENTRAL.SI-GAS AC-POL.32x25;536.76;40;0;9;9;357.84;1.5;522.11;21;64.28;14;-;23
07.63.15.43;TRANSICION MACHO  SI-GAS     20x1/2;340.15;40;0;9;9;226.77;1.5;330.87;21;40.74;14;-;23
07.63.15.53;TRANSICION MACHO  SI-GAS     25x1/2;396.76;40;0;9;9;264.5;1.5;385.93;21;47.52;14;-;23
07.63.15.54;TRANSICION MACHO  SI-GAS     25x3/4;394.63;40;0;9;9;263.09;1.5;383.86;21;47.26;14;-;23
07.63.15.65;TRANSICION MACHO  SI-GAS     32x1  ;455.51;40;0;9;9;303.67;1.5;443.08;21;54.55;14;-;23
07.63.17.43;TRANSICION HEMBRA SI-GAS     20x1/2;324.11;40;0;9;9;216.08;1.5;315.27;21;38.82;14;-;23
07.63.17.53;TRANSICION HEMBRA SI-GAS     25x1/2;358.19;40;0;9;9;238.8;1.5;348.42;21;42.9;14;-;23
07.63.17.54;TRANSICION HEMBRA SI-GAS     25x3/4;368.13;40;0;9;9;245.42;1.5;358.08;21;44.09;14;-;23
